Relay URL,Latitude,Longitude
schnorr.me,43.6532,-79.3832
nostr.simplex.icu,50.8198,-1.08798
relay.agora.social,50.7383,15.0648
nostr.lkjsxc.com,43.6532,-79.3832
vitor.nostr1.com,40.7128,-74.006
shu02.shugur.net,21.4902,39.2246
relay.goodmorningbitcoin.com,43.6532,-79.3832
orangepiller.org,60.1699,24.9384
bcast.seutoba.com.br,43.6532,-79.3832
relay.usefusion.ai,38.7134,-78.1591
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relayb.uid.ovh,43.6532,-79.3832
relay.illuminodes.com,47.6061,-122.333
nostr.tavux.tech,48.8575,2.35138
fanfares.nostr1.com,40.7128,-74.006
cyberspace.nostr1.com,40.7128,-74.006
nostr.0x7e.xyz,47.4988,8.72369
relay.holzeis.me,43.6532,-79.3832
relay.notoshi.win,13.3622,100.983
theoutpost.life,64.1476,-21.9392
relay.lightning.pub,39.0438,-77.4874
relay.bullishbounty.com,43.6532,-79.3832
ribo.us.nostria.app,41.5868,-93.625
nostrelites.org,41.8781,-87.6298
wot.tealeaf.dev,33.7488,-84.3877
nostrcheck.me,43.6532,-79.3832
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
slick.mjex.me,39.048,-77.4817
shu01.shugur.net,21.4902,39.2246
relay.nostr.place,32.7767,-96.797
relay.nostr.band,60.1699,24.9384
relay.magiccity.live,25.8128,-80.2377
nostr-pub.wellorder.net,45.5201,-122.99
relay.bitcoinveneto.org,64.1466,-21.9426
nostr.thebiglake.org,32.71,-96.6745
nr.yay.so,46.2126,6.1154
relay.fountain.fm,39.0997,-94.5786
strfry.openhoofd.nl,51.9229,4.40833
orangesync.tech,51.5072,-0.127586
relay.sigit.io,50.4754,12.3683
nostr-dev.wellorder.net,45.5201,-122.99
santo.iguanatech.net,40.8302,-74.1299
relay.nostx.io,43.6532,-79.3832
relay.binaryrobot.com,43.6532,-79.3832
relay-testnet.k8s.layer3.news,37.3387,-121.885
nostr.hifish.org,47.4043,8.57398
yabu.me,35.6092,139.73
ribo.af.nostria.app,-26.2041,28.0473
nostr.n7ekb.net,47.4941,-122.294
relay.ditto.pub,43.6532,-79.3832
relay.divine.video,43.6532,-79.3832
nostr.sizzlewidget.website,38.9072,-77.0369
relay1.nostrchat.io,60.1699,24.9384
relay.nostar.org,43.6532,-79.3832
nostr.czas.top,50.1109,8.68213
wot.sudocarlos.com,51.5072,-0.127586
relay.mccormick.cx,52.3563,4.95714
relay.npubhaus.com,43.6532,-79.3832
nostr.plantroon.com,50.1013,8.62643
relay.nostrdice.com,-33.8688,151.209
nostr.data.haus,50.4754,12.3683
relay.nuts.cash,34.0362,-118.443
wot.sovbit.host,64.1466,-21.9426
relay.barine.co,43.6532,-79.3832
nostr.mikoshi.de,50.1109,8.68213
nostr-02.yakihonne.com,1.32123,103.695
relay.hasenpfeffr.com,39.0438,-77.4874
relay02.lnfi.network,39.0997,-94.5786
relay2.angor.io,48.1046,11.6002
nostr.bilthon.dev,25.8128,-80.2377
nostr.bond,50.1109,8.68213
r.bitcoinhold.net,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
strfry.bonsai.com,37.8715,-122.273
wot.utxo.one,43.6532,-79.3832
relay.origin.land,35.6673,139.751
relay.toastr.net,40.8054,-74.0241
nostr.coincrowd.fund,39.0438,-77.4874
nostr-01.uid.ovh,43.6532,-79.3832
